timestamp,market_slug,outcome,best_bid,best_ask,mid,spread
1767715354.959339,btc-updown-15m-1767715200,DOWN,0.42,0.41,0.415,-0.010000000000000009
1767715354.959632,btc-updown-15m-1767715200,UP,0.59,0.58,0.585,-0.010000000000000009
1767715356.323924,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715356.3244889,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715357.67068,btc-updown-15m-1767715200,UP,0.54,0.53,0.535,-0.010000000000000009
1767715357.6715038,btc-updown-15m-1767715200,DOWN,0.47,0.46,0.46499999999999997,-0.009999999999999953
1767715359.146761,btc-updown-15m-1767715200,DOWN,0.48,0.47,0.475,-0.010000000000000009
1767715359.147211,btc-updown-15m-1767715200,UP,0.53,0.52,0.525,-0.010000000000000009
1767715360.5237708,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715360.52431,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715361.860435,btc-updown-15m-1767715200,DOWN,0.44,0.43,0.435,-0.010000000000000009
1767715361.860706,btc-updown-15m-1767715200,UP,0.57,0.56,0.565,-0.009999999999999898
1767715363.211503,btc-updown-15m-1767715200,DOWN,0.43,0.42,0.425,-0.010000000000000009
1767715363.2120671,btc-updown-15m-1767715200,UP,0.58,0.57,0.575,-0.010000000000000009
1767715364.6591291,btc-updown-15m-1767715200,DOWN,0.44,0.43,0.435,-0.010000000000000009
1767715364.659414,btc-updown-15m-1767715200,UP,0.57,0.56,0.565,-0.009999999999999898
1767715366.279527,btc-updown-15m-1767715200,UP,0.59,0.58,0.585,-0.010000000000000009
1767715366.279834,btc-updown-15m-1767715200,DOWN,0.42,0.41,0.415,-0.010000000000000009
1767715367.625706,btc-updown-15m-1767715200,UP,0.59,0.58,0.585,-0.010000000000000009
1767715367.626631,btc-updown-15m-1767715200,DOWN,0.42,0.41,0.415,-0.010000000000000009
1767715369.035232,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715369.035525,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715370.387116,btc-updown-15m-1767715200,DOWN,0.42,0.41,0.415,-0.010000000000000009
1767715370.387313,btc-updown-15m-1767715200,UP,0.59,0.58,0.585,-0.010000000000000009
1767715371.722783,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715371.722899,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715373.0767748,btc-updown-15m-1767715200,DOWN,0.44,0.43,0.435,-0.010000000000000009
1767715373.077426,btc-updown-15m-1767715200,UP,0.57,0.56,0.565,-0.009999999999999898
1767715374.772335,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715374.7962618,btc-updown-15m-1767715200,DOWN,0.46,0.45,0.455,-0.010000000000000009
1767715376.127828,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715376.128064,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715377.479424,btc-updown-15m-1767715200,DOWN,0.43,0.42,0.425,-0.010000000000000009
1767715377.481449,btc-updown-15m-1767715200,UP,0.58,0.57,0.575,-0.010000000000000009
1767715379.019058,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715379.0196831,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715380.380228,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715380.3808372,btc-updown-15m-1767715200,UP,0.55,0.54,0.545,-0.010000000000000009
1767715381.73056,btc-updown-15m-1767715200,DOWN,0.45,0.44,0.445,-0.010000000000000009
1767715381.730775,btc-updown-15m-1767715200,UP,0.56,0.55,0.555,-0.010000000000000009
1767715383.100689,btc-updown-15m-1767715200,DOWN,0.43,0.42,0.425,-0.010000000000000009
1767715383.10111,btc-updown-15m-1767715200,UP,0.58,0.57,0.575,-0.010000000000000009
1767715384.94533,btc-updown-15m-1767715200,DOWN,0.39,0.38,0.385,-0.010000000000000009
1767715384.945677,btc-updown-15m-1767715200,UP,0.62,0.61,0.615,-0.010000000000000009
1767715386.282027,btc-updown-15m-1767715200,DOWN,0.41,0.4,0.405,-0.009999999999999953
1767715386.282568,btc-updown-15m-1767715200,UP,0.6,0.59,0.595,-0.010000000000000009
1767715387.6311219,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715387.6312408,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715388.997005,btc-updown-15m-1767715200,DOWN,0.39,0.38,0.385,-0.010000000000000009
1767715388.9973161,btc-updown-15m-1767715200,UP,0.62,0.61,0.615,-0.010000000000000009
1767715390.408892,btc-updown-15m-1767715200,DOWN,0.41,0.4,0.405,-0.009999999999999953
1767715390.409384,btc-updown-15m-1767715200,UP,0.6,0.59,0.595,-0.010000000000000009
1767715392.4505758,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
1767715392.451038,btc-updown-15m-1767715200,UP,0.61,0.6,0.605,-0.010000000000000009
1767715393.816364,btc-updown-15m-1767715200,DOWN,0.4,0.39,0.395,-0.010000000000000009
